UniversalName,SppName_ICTV_MSL2018b,Reservoir,Vector.borne,Vector,Reference_Reservoir,Reference_Vector
Maize mosaic nucleorhabdovirus,Maize mosaic nucleorhabdovirus,Plant,1,planthopper,Babayan2018,Babayan2018
Maize rough dwarf virus,NA,Plant,NA,NA,NA,NA
Maize stripe tenuivirus,NA,Plant,NA,NA,NA,NA
Mal de Rio Cuarto virus,NA,Plant,NA,NA,NA,NA
Malakal virus,NA,Orphan,1,mosquito,Babayan2018,Babayan2018
Malpais Spring vesiculovirus,Malpais Spring vesiculovirus,Orphan,1,mosquito,Babayan2018,Babayan2018
Malsoor virus,NA,Pterobat,?,unknown,Babayan2018,Babayan2018
Mamastrovirus 1,Mamastrovirus 1,Human,0,NA,Knipe2013,NA
Mamastrovirus 10,Mamastrovirus 10,Carnivore,0,NA,Babayan2018,NA
Mamastrovirus 11,NA,Orphan,0,NA,rivera2010,NA
Mamastrovirus 12,NA,Orphan,0,NA,zhu2009,NA
Mamastrovirus 13,Mamastrovirus 13,Artiodactyl,0,NA,Babayan2018,NA
Mamastrovirus 14,NA,Orphan,0,NA,chu2008,NA
Mamastrovirus 15,NA,Orphan,0,NA,zhu2009,NA
Mamastrovirus 16,NA,Orphan,0,NA,chu2008,NA
Mamastrovirus 17,NA,Orphan,0,NA,zhu2009,NA
Mamastrovirus 18,NA,Orphan,0,NA,chu2008,NA
Mamastrovirus 19,NA,Orphan,0,NA,zhu2009,NA
Mamastrovirus 2,Mamastrovirus 2,Carnivore,0,NA,Babayan2018,NA
Mamastrovirus 3,Mamastrovirus 3,Artiodactyl,0,NA,Babayan2018,NA
Mamastrovirus 4,Mamastrovirus 4,Carnivore,0,NA,Babayan2018,NA
Mamastrovirus 5,NA,Carnivore,0,NA,alves2018,NA
Mamastrovirus 6,Mamastrovirus 6,Human,0,NA,Vu2017,NA
Mamastrovirus 7,NA,Orphan,0,NA,rivera2010,NA
Mamastrovirus 8,Mamastrovirus 8,Human,0,NA,Vu2017,NA
Mamastrovirus 9,Mamastrovirus 9,Human,0,NA,Vu2017,NA
Mammalian 1 bornavirus,Mammalian 1 orthobornavirus,Soricomorph,0,NA,Knipe2013,NA
Mammalian 2 bornavirus,Mammalian 2 orthobornavirus,Orphan,NA,unknown,﻿Hoffmann2015,NA
Mammalian orthoreovirus,Mammalian orthoreovirus,MULTIPLE,0,NA,Knipe2013,NA
Mammalian rubulavirus 5,Mammalian orthorubulavirus 5,Carnivore,0,NA,Babayan2018,NA
Manitoba hapavirus,NA,Orphan,NA,unknown,artsob1991,artsob1991
Manzanilla orthobunyavirus,Manzanilla orthobunyavirus,NA,1,mosquito,NA,Knipe2013
Maporal orthohantavirus,NA,Orphan,0,NA,milazzo2010,NA
Maprik virus,NA,Orphan,1,mosquito,Babayan2018,Babayan2018
Mapuera rubulavirus,Mapuera orthorubulavirus,Vespbat,0,NA,Babayan2018,NA
Maraba vesiculovirus,Maraba vesiculovirus,Orphan,1,sandfly,Babayan2018,Babayan2018
Marburg marburgvirus,Marburg marburgvirus,Pterobat,0,NA,Babayan2018,NA
Marco hapavirus,NA,Reptile,NA,NA,causey1966,NA
Mariental mammarenavirus,NA,Orphan,0,NA,witkowski2015,NA
Marituba orthobunyavirus,Marituba orthobunyavirus,Orphan,1,mosquito,Hang2014,Contigiani2017
Mason-Pfizer monkey virus,Mason-Pfizer monkey virus,NonHumanPrimate,0,NA,Fine1978,NA
Mayaro virus,Mayaro virus,Orphan,1,mosquito,Babayan2018,Babayan2018
Meaban virus,NA,Charadriiformes,1,tick,arnal2014,chambers2003
Measles morbillivirus,Measles morbillivirus,Human,0,NA,Knipe2013,NA
Melegrivirus A,NA,Orphan,0,NA,honkavuori2011,NA
Melon yellow spot virus,NA,Plant,1,thrip,Babayan2018,Babayan2018
Menangle rubulavirus,Menangle pararubulavirus,Pterobat,0,NA,Babayan2018,NA
Menekre virus,NA,Rodent,0,NA,Babayan2018,NA
Mercadeo virus,NA,Insect,0,mosquito,Babayan2018,Babayan2018
Merino Walk mammarenavirus,Merino Walk mammarenavirus,Rodent,0,NA,Babayan2018,NA
Mesocricetus auratus polyomavirus 1,Mesocricetus auratus polyomavirus 1,Rodent,0,NA,calvignacspencer2016,NA
Micromonas pusilla reovirus,NA,Protist,NA,NA,NA,NA
Middelburg virus,Middelburg virus,Orphan,1,mosquito,Babayan2018,Babayan2018
Middle East respiratory syndrome-related coronavirus,Middle East respiratory syndrome-related coronavirus,Orphan,0,NA,Babayan2018,NA
Mikumi yellow baboon virus 1,NA,NonHumanPrimate,0,NA,kuhn2016,NA
Minatitlan orthobunyavirus,Minatitlan orthobunyavirus,NA,1,mosquito,NA,Knipe2013
Miniopterus bat coronavirus 1,NA,Vespbat,0,NA,chu2006,NA
Miniopterus bat coronavirus HKU8,Miniopterus bat coronavirus HKU8,Vespbat,0,NA,Babayan2018,NA
Mink calicivirus,NA,Carnivore,0,NA,Babayan2018,NA
Mink coronavirus 1,NA,Carnivore,0,NA,vlasova2011,NA
Mink enteric sapovirus,NA,Orphan,0,NA,guo2001,NA
Mischivirus A,Mischivirus A,Vespbat,0,NA,Babayan2018,NA
Mischivirus B,NA,Orphan,0,NA,kemenesi2015,NA
Mischivirus C,Mischivirus C,Pterobat,0,NA,Babayan2018,NA
Mobala mammarenavirus,Mobala mammarenavirus,Rodent,0,NA,Babayan2018,NA
Modoc virus,Modoc virus,Rodent,0,NA,Babayan2018,NA
Mojiang henipavirus,Mojiang henipavirus,Rodent,0,NA,Babayan2018,NA
Mokola lyssavirus,Mokola lyssavirus,Orphan,0,NA,Babayan2018,NA
Molluscum contagiosum virus,Molluscum contagiosum virus,Human,0,NA,Knipe2013,NA
Moloney murine sarcoma virus,Moloney murine sarcoma virus,Rodent,0,NA,Knipe2013,NA
Monkeypox virus,Monkeypox virus,Rodent,0,NA,Essbauer2010,NA
Montana myotis leukoencephalitis virus,Montana myotis leukoencephalitis virus,Vespbat,0,NA,Babayan2018,NA
Montano orthohantavirus,NA,Rodent,0,NA,saasa2012,NA
Mopeia mammarenavirus,Mopeia mammarenavirus,Rodent,0,NA,Babayan2018,NA
Morogoro mammarenavirus,NA,Rodent,0,NA,Babayan2018,NA
Morreton vesiculovirus,NA,NA,NA,NA,NA,NA
Mosavirus A,NA,Orphan,0,NA,reuter2014,NA
Mosqueiro hapavirus,NA,NA,NA,NA,NA,NA
Mossman virus,NA,Rodent,0,NA,Babayan2018,NA
Mosso das Pedras virus,Mosso das Pedras virus,Orphan,1,mosquito,Forrester2017,Forrester2017
Mossuril hapavirus,NA,NA,1,mosquito,NA,Vasilakis2016
Mount Elgon bat ledantevirus,Mount Elgon bat ledantevirus,Orphan,?,unknown,Blasdell2015,Blasdell2015
Mouse astrovirus M-52/USA/2008,NA,Rodent,0,NA,Babayan2018,NA
Mouse mammary tumor virus,Mouse mammary tumor virus,Rodent,0,NA,Henrard1988,NA
Moussa virus,Moussa virus,Orphan,1,mosquito,Babayan2018,Babayan2018
MPoko orthobunyavirus,NA,Anseriformes,1,mosquito,hubalek2008,hubalek2008
Mucambo virus,Mucambo virus,Rodent,1,mosquito,Contigiani2017a,Contigiani2017a
Mulberry vein banding virus,NA,Plant,1,thrip,Babayan2018,Babayan2018
Muleshoe virus,NA,Orphan,0,NA,milazzo2017,NA
Mumps rubulavirus,Mumps orthorubulavirus,Human,0,NA,Knipe2013,NA
Munia coronavirus HKU13,Munia coronavirus HKU13,Orphan,0,NA,woo2009,NA
Mupapillomavirus 1,Mupapillomavirus 1,Human,0,NA,"Knipe2013, Bernard2010",NA
Mupapillomavirus 2,Mupapillomavirus 2,Human,0,NA,"Knipe2013, Bernard2010",NA
Murid betaherpesvirus 1,Murid betaherpesvirus 1,Rodent,0,NA,Knipe2013,NA
Murid betaherpesvirus 2,Murid betaherpesvirus 2,Rodent,0,NA,Knipe2013,NA
Murid gammaherpesvirus 4,Murid gammaherpesvirus 4,Rodent,0,NA,Knipe2013,NA
Murine astrovirus,NA,Rodent,0,NA,Babayan2018,NA
Murine coronavirus,Murine coronavirus,Rodent,0,NA,Babayan2018,NA
Murine leukemia virus,Murine leukemia virus,Rodent,0,NA,Martin1999,NA
Murine mastadenovirus A,Murine mastadenovirus A,Rodent,0,NA,Knipe2013,NA
Murine mastadenovirus B,Murine mastadenovirus B,Rodent,0,NA,Knipe2013,NA
Murine orthopneumovirus,Murine orthopneumovirus,Rodent,0,NA,Babayan2018,NA
Murine respirovirus,Murine respirovirus,Rodent,0,NA,Babayan2018,NA
Murray Valley encephalitis virus,Murray Valley encephalitis virus,Pelecaniformes,1,mosquito,mackenzie1994,Babayan2018
Murrumbidgee virus,NA,Orphan,1,mosquito,Babayan2018,Babayan2018
Mus musculus polyomavirus 1,Mus musculus polyomavirus 1,Rodent,0,NA,calvignacspencer2016,NA
Mus musculus polyomavirus 2,Mus musculus polyomavirus 2,Rodent,0,NA,calvignacspencer2016,NA
Muscina stabulans sigmavirus,NA,Insect,NA,NA,NA,NA
Mustelid gammaherpesvirus 1,Mustelid gammaherpesvirus 1,Carnivore,0,NA,"Davison2009, Gaskell1999",NA
Mycoreovirus 1,NA,Fungi,NA,NA,NA,NA
Mycoreovirus 2,NA,Fungi,NA,NA,NA,NA
Mycoreovirus 3,NA,Fungi,NA,NA,NA,NA
Myxoma virus,Myxoma virus,Lagomorph,0,NA,Knipe2013,NA
Nairobi sheep disease orthonairovirus,NA,Artiodactyl,1,tick,baron2015,baron2015
Nariva virus,NA,Rodent,0,NA,Babayan2018,NA
Ndumu virus,Ndumu virus,Orphan,1,mosquito,Babayan2018,Babayan2018
Necocli orthohantavirus,NA,Orphan,0,NA,montoyaruiz2015,NA
Nelson Bay orthoreovirus,Nelson Bay orthoreovirus,Pterobat,0,NA,Coombs2011,NA
New Jersey vesiculovirus,New Jersey vesiculovirus,Artiodactyl,1,sandfly,Babayan2018,Babayan2018
Newbury-1 virus,Newbury 1 virus,Artiodactyl,0,NA,Babayan2018,NA
Ngaingan hapavirus,Ngaingan hapavirus,Macropod,1,midge,Babayan2018,Babayan2018
Niakha sripuvirus,Niakha sripuvirus,Orphan,1,sandfly,Babayan2018,Babayan2018
Night heron coronavirus HKU19,Night heron coronavirus HKU19,Orphan,0,NA,woo2012,NA
Nilaparvata lugens reovirus,NA,Insect,1,planthopper,nakashima1995,nakashima1995
Nipah henipavirus,Nipah henipavirus,Pterobat,0,NA,Babayan2018,NA
Nishimuro ledantevirus,NA,Orphan,?,NA,sakai2015,NA
Nkolbisson ledantevirus,NA,NA,NA,NA,NA,NA
Northern cereal mosaic cytorhabdovirus,Northern cereal mosaic cytorhabdovirus,Plant,1,planthopper,Babayan2018,Babayan2018
Norwalk virus,Norwalk virus,Artiodactyl,0,NA,Babayan2018,NA
Norwalk virus,Norwalk virus,Carnivore,0,NA,Babayan2018,NA
Norwalk virus,Norwalk virus,Human,0,NA,Knipe2013,NA
Norwalk virus,Norwalk virus,Rodent,0,NA,Babayan2018,NA
Norway rat hepacivirus 1,NA,Rodent,0,NA,Babayan2018,NA
Norway rat hepacivirus 2,NA,Rodent,0,NA,Babayan2018,NA
Norway rat pegivirus,NA,Rodent,0,NA,Babayan2018,NA
Norway rat pestivirus,NA,Rodent,0,NA,Babayan2018,NA
Nova orthohantavirus,NA,Eulipotyphla,0,NA,﻿Gu2014,NA
Ntaya virus,Ntaya virus,Orphan,1,mosquito,Babayan2018,Babayan2018
Nupapillomavirus 1,Nupapillomavirus 1,Human,0,NA,"Knipe2013, Bernard2010",NA
Nyando orthobunyavirus,Nyando orthobunyavirus,NA,1,mosquito,NA,Shapshak2015
O'nyong-nyong virus,Onyong-nyong virus,Orphan,1,mosquito,Babayan2018,Babayan2018
Oat sterile dwarf virus,NA,Plant,NA,NA,NA,NA
Obodhiang ephemerovirus,Obodhiang ephemerovirus,Orphan,1,mosquito,Babayan2018,Babayan2018
Oita ledantevirus,Oita ledantevirus,Orphan,?,unknown,Iwasaki2004,Iwasaki2004
Okahandja mammarenavirus,NA,Orphan,0,NA,witkowski2015,NA
Olifantsvlei orthobunyavirus,NA,NA,1,mosquito,NA,Knipe2013
Oliveros mammarenavirus,Oliveros mammarenavirus,Rodent,0,NA,Babayan2018,NA
Omikronpapillomavirus 1,Omikronpapillomavirus 1,Cetacean,0,NA,"Knipe2013, Bernard2010",NA
Omsk hemorrhagic fever virus,Omsk hemorrhagic fever virus,Rodent,1,tick,Babayan2018,Babayan2018
Orchid fleck dichorhavirus,NA,Plant,NA,NA,NA,NA
Ord River hapavirus,NA,NA,NA,NA,NA,NA
Orf virus,Orf virus,Artiodactyl,0,NA,Knipe2013,NA
Oriboca orthobunyavirus,Oriboca orthobunyavirus,NA,1,mosquito,NA,Contigiani2017
Oropouche orthobunyavirus,Oropouche orthobunyavirus,Orphan,1,midge,Babayan2018,Babayan2018
Orthohepevirus A,Orthohepevirus A,Artiodactyl,0,NA,Babayan2018,NA
Orthohepevirus A,Orthohepevirus A,Carnivore,0,NA,Babayan2018,NA
Orthohepevirus A,Orthohepevirus A,Human,0,NA,Knipe2013,NA
Orthohepevirus B,Orthohepevirus B,Galliformes,0,NA,purcell2008,NA
Orthohepevirus C,Orthohepevirus C,Rodent,0,NA,Babayan2018,NA
Orthohepevirus D,Orthohepevirus D,Vespbat,0,NA,Babayan2018,NA
Orungo virus,Orungo virus,Orphan,1,midge,Tomori1978,Vasilakis2016
Oscivirus A,Oscivirus A,Passeriformes,0,NA,woo2010,NA
Ovine atadenovirus D,Ovine atadenovirus D,Artiodactyl,0,NA,Knipe2013,NA
Ovine gammaherpesvirus 2,Ovine gammaherpesvirus 2,Artiodactyl,0,NA,Russell2009,NA
Ovine mastadenovirus A,Ovine mastadenovirus A,Artiodactyl,0,NA,Knipe2013,NA
Oxbow orthohantavirus,NA,Orphan,0,NA,kang2009,NA
Palyam virus,Palyam virus,Artiodactyl,NA,NA,Whistler1989,NA
Pangola stunt virus,NA,Plant,NA,NA,NA,NA
Panine betaherpesvirus 2,Panine betaherpesvirus 2,NonHumanPrimate,0,NA,Wachtman2012,NA
Panine gammaherpesvirus 1,Panine gammaherpesvirus 1,NonHumanPrimate,0,NA,Wachtman2012,NA
Papiine alphaherpesvirus 2,Papiine alphaherpesvirus 2,NonHumanPrimate,0,NA,Wachtman2012,NA
Papiine gammaherpesvirus 1,Papiine gammaherpesvirus 1,NonHumanPrimate,0,NA,Wachtman2012,NA
Paraiso Escondido virus,NA,Insect,0,sandfly,Babayan2018,Babayan2018
Paraná mammarenavirus,Paraguayan mammarenavirus,Rodent,0,NA,Babayan2018,NA
Parapoxvirus of red deer in New Zealand,Parapoxvirus of red deer in New Zealand,Artiodactyl,0,NA,Knipe2013,NA
Parechovirus A,Parechovirus A,Human,0,NA,Stanway2000,NA
Parechovirus B,Parechovirus B,Rodent,0,NA,Fevola2017,NA
Parechovirus C,NA,Orphan,0,NA,joffret2013,NA
Parechovirus D,NA,Orphan,0,NA,smits2013,NA
Parramatta River virus,NA,Insect,0,mosquito,Babayan2018,Babayan2018
Parry Creek hapavirus,NA,Orphan,?,NA,liehne1981,liehne1981
Pasivirus A,NA,Artiodactyl,0,NA,sauvage2012,NA
Passeriform 1 bornavirus,NA,Passeriformes,0,NA,rubbenstroth2016,NA
Passeriform 2 bornavirus,NA,Orphan,0,NA,rubbenstroth2014,NA
Passerivirus A,NA,Passeriformes,NA,NA,woo2010,NA
Patois orthobunyavirus,Patois orthobunyavirus,Orphan,1,mosquito,fraenkelconrat1979,Shapshak2015
Pebjah virus,NA,Orphan,0,NA,kuhn2016,NA
Pegivirus A,Pegivirus A,NonHumanPrimate,0,NA,Smith2016a,NA
Pegivirus A,Pegivirus A,Pterobat,0,NA,Smith2016a; Quan2012,NA
Pegivirus B,NA,Orphan,?,NA,epstein2010; quan2013,NA
Pegivirus C,Pegivirus C,Human,0,NA,Stapleton2011,NA
Pegivirus C,Pegivirus C,NonHumanPrimate,0,NA,Smith2016a,NA
Pegivirus D,NA,Orphan,?,NA,postel2016,NA
Pegivirus E,Pegivirus E,Perissodactyla,0,NA,Babayan2018,NA
Pegivirus F,NA,Orphan,?,NA,quan2013,NA
Pegivirus G,NA,Orphan,?,NA,quan2013,NA
Pegivirus H,Pegivirus H,Human,0,NA,Smith2016a,NA
Pegivirus I,NA,Orphan,?,NA,quan2013,NA
Pegivirus J,NA,Orphan,?,NA,kapoor2013,NA
Pegivirus K,NA,Orphan,?,NA,baechlein2016,NA
Perch perhabdovirus,Perch perhabdovirus,Fish,0,NA,Babayan2018,NA
Perinet vesiculovirus,Perinet vesiculovirus,Orphan,1,mosquito,Babayan2018,Babayan2018
Persimmon virus A,NA,Plant,1,unknown,Babayan2018,Babayan2018
Peruvian horse sickness virus,Peruvian horse sickness virus,Artiodactyl,1,mosquito,mendezlopez2015,mendezlopez2015
Pestivirus Giraffe-1,NA,Artiodactyl,0,NA,Babayan2018,NA
Phacovirus Pf-CHK1/PhV,NA,Orphan,0,NA,boros2016,NA
Phasi Charoen-like phasivirus,NA,Insect,1,mosquito,chandler2014,chandler2014
Phnom Penh bat virus,Phnom Penh bat virus,Pterobat,0,NA,Blitvich2017,Blitvich2017
Phocid alphaherpesvirus 1,Phocid alphaherpesvirus 1,Carnivore,0,NA,Gaskell1999,NA
Phocine morbillivirus,Phocine morbillivirus,Carnivore,0,NA,Babayan2018,NA
Pichindé mammarenavirus,Cali mammarenavirus,Rodent,0,NA,Babayan2018,NA
Pike fry sprivivirus,Pike fry sprivivirus,Fish,0,NA,Babayan2018,NA
Pipapillomavirus 1,Pipapillomavirus 1,Rodent,0,NA,"Knipe2013, Bernard2010",NA
Pipistrellus bat coronavirus HKU5,Pipistrellus bat coronavirus HKU5,Vespbat,0,NA,Babayan2018,NA
Pirital mammarenavirus,Pirital mammarenavirus,Rodent,0,NA,Babayan2018,NA
Piry vesiculovirus,Piry vesiculovirus,NA,NA,NA,NA,NA
Piscihepevirus A,Piscihepevirus A,Fish,0,NA,Babayan2018,NA
Piscine novirhabdovirus,Piscine novirhabdovirus,Fish,0,NA,Babayan2018,NA
Piscine orthoreovirus,NA,Fish,NA,NA,NA,NA
Pixuna virus,Pixuna virus,Rodent,1,mosquito,Pisano2010,Pisano2010
Polygonum ringspot orthotospovirus,NA,Plant,NA,NA,NA,NA
Pongine gammaherpesvirus 2,Pongine gammaherpesvirus 2,NonHumanPrimate,0,NA,Wachtman2012,NA
Porcine astrovirus 2,NA,Artiodactyl,0,NA,Babayan2018,NA
Porcine astrovirus 3,NA,Artiodactyl,0,NA,Babayan2018,NA
Porcine astrovirus 4,NA,Artiodactyl,0,NA,Babayan2018,NA
Porcine astrovirus 5,NA,Artiodactyl,0,NA,Babayan2018,NA
Porcine circovirus 1,Porcine circovirus 1,Artiodactyl,0,NA,Allan2000,NA
Porcine circovirus 2,Porcine circovirus 2,Artiodactyl,0,NA,ruizfons2008,NA
Porcine epidemic diarrhea virus,Porcine epidemic diarrhea virus,Artiodactyl,0,NA,Babayan2018,NA
Porcine mastadenovirus A,Porcine mastadenovirus A,Artiodactyl,0,NA,Knipe2013,NA
Porcine mastadenovirus B,Porcine mastadenovirus B,Artiodactyl,0,NA,Knipe2013,NA
Porcine mastadenovirus C,Porcine mastadenovirus C,Artiodactyl,0,NA,Knipe2013,NA
Porcine pestivirus isolate Bungowannah,Pestivirus F,Orphan,0,NA,Babayan2018,NA
Porcine reproductive and respiratory syndrome virus 1,Betaarterivirus suid 1,Artiodactyl,0,NA,Knipe2013,NA
Porcine reproductive and respiratory syndrome virus 2,NA,Artiodactyl,0,NA,Knipe2013,NA
Porcine respirovirus 1,Porcine respirovirus 1,Artiodactyl,0,NA,Babayan2018,NA
Porcine rubulavirus,Porcine orthorubulavirus,Artiodactyl,0,NA,Babayan2018,NA
Porcine torovirus,Porcine torovirus,Artiodactyl,0,NA,Babayan2018,NA
Porcine type-C oncovirus,Porcine type-C oncovirus,Artiodactyl,0,NA,Yudin2011,NA
Possum atadenovirus A,Possum atadenovirus A,Diprotodontia,0,NA,Knipe2013,NA
Potamipivirus A,NA,Fish,NA,NA,NA,NA
Potato yellow dwarf nucleorhabdovirus,Potato yellow dwarf nucleorhabdovirus,Plant,1,leafhopper,Babayan2018,Babayan2018
Powassan virus,Powassan virus,Rodent,1,tick,Babayan2018,Babayan2018
Primate erythroparvovirus 1,Primate erythroparvovirus 1,Human,0,NA,Heegaard2002,NA
Primate erythroparvovirus 2,Primate erythroparvovirus 2,NonHumanPrimate,0,NA,Brown1997a,NA
Primate erythroparvovirus 3,Primate erythroparvovirus 3,NonHumanPrimate,0,NA,Brown1997a,NA
Primate erythroparvovirus 4,Primate erythroparvovirus 4,NonHumanPrimate,0,NA,Brown1997a,NA
Primate T-lymphotropic virus 1,Primate T-lymphotropic virus 1,Human,0,NA,Verdonck2007,NA
Primate T-lymphotropic virus 1,Primate T-lymphotropic virus 1,NonHumanPrimate,0,NA,Verdonck2007,NA
Primate T-lymphotropic virus 2,Primate T-lymphotropic virus 2,Human,0,NA,Verdonck2007,NA
Primate T-lymphotropic virus 2,Primate T-lymphotropic virus 2,NonHumanPrimate,0,NA,Verdonck2007,NA
Primate T-lymphotropic virus 3,Primate T-lymphotropic virus 3,Human,0,NA,Verdonck2007,NA
Primate T-lymphotropic virus 3,Primate T-lymphotropic virus 3,NonHumanPrimate,0,NA,Sintasath2009,NA
Pronghorn antelope pestivirus,Pestivirus E,Artiodactyl,0,NA,Babayan2018,NA
Prospect Hill orthohantavirus,Prospect Hill orthohantavirus,Rodent,0,NA,Shapshak2015,NA
Pseudocowpox virus,Pseudocowpox virus,Artiodactyl,0,NA,Knipe2013,NA
Psittaciform 1 bornavirus,NA,Psittaciformes,0,NA,rubbenstroth2016,NA
Psittaciform 2 bornavirus,NA,Orphan,0,NA,marton2015,NA
Puerto Almendras almendravirus,Puerto Almendras almendravirus,Orphan,1,mosquito,Babayan2018,Babayan2018
Puma lentivirus,Puma lentivirus,Carnivore,0,NA,Knipe2013,NA
Punta Toro phlebovirus,Punta Toro phlebovirus,Orphan,1,sandfly,Alkan2013; Ergunay2017,Contigiani2017
Puumala orthohantavirus,Puumala orthohantavirus,Rodent,0,NA,Babayan2018,NA
Qalyub orthonairovirus,Qalyub orthonairovirus,Rodent,1,tick,Miller1985,Miller1985
Qinghai Himalayan marmot astrovirus 1,NA,Rodent,0,NA,Babayan2018,NA
Qinghai Himalayan marmot astrovirus 2,NA,Rodent,0,NA,Babayan2018,NA
Quang Binh virus,NA,Insect,0,mosquito,Babayan2018,Babayan2018
Quaranfil virus,Quaranfil quaranjavirus,NA,1,tick,Hoogstraal1981,Pisano2010
Quezon orthohantavirus,NA,Orphan,0,NA,arai2016,NA
Rabbit astrovirus TN/2208/2010,NA,Lagomorph,0,NA,Babayan2018,NA
Rabbit coronavirus HKU14,NA,Lagomorph,0,NA,Babayan2018,NA
Rabbit fibroma virus,Rabbit fibroma virus,Lagomorph,0,NA,Knipe2013,NA
Rabbit hemorrhagic disease virus,Rabbit hemorrhagic disease virus,Lagomorph,0,NA,Babayan2018,NA
Rabbit kidney vacuolating virus,NA,NA,NA,NA,NA,NA
Rabbit picobirnavirus,NA,Orphan,0,NA,krishnamurthy2018,NA
Rabbit vesivirus,NA,Lagomorph,0,NA,Babayan2018,NA
Rabies lyssavirus,Rabies lyssavirus,Carnivore,0,NA,Babayan2018,NA
Rabies lyssavirus,Rabies lyssavirus,Vespbat,0,NA,Rupprecht2002,NA
Rabovirus A,NA,Rodent,0,NA,ng2015,NA
Raccoonpox virus,Raccoonpox virus,Carnivore,0,NA,Knipe2013,NA
Radi vesiculovirus,NA,NA,NA,NA,NA,NA
Rat arterivirus 1,NA,Orphan,NA,NA,wu2018,NA
Reptile sunshinevirus 1,Reptile sunshinevirus 1,Reptile,0,NA,Babayan2018,NA
Reptilian ferlavirus,Reptilian ferlavirus,Reptile,0,NA,Babayan2018,NA
Reptilian orthoreovirus,NA,Reptile,NA,NA,NA,NA
Reston ebolavirus,Reston ebolavirus,Orphan,0,NA,Babayan2018,NA
Reticuloendotheliosis virus,NA,Galliformes,0,NA,pattison2007,NA
Rhinolophus bat coronavirus HKU2,Rhinolophus bat coronavirus HKU2,Pterobat,0,NA,Babayan2018,NA
Rhinovirus A,Rhinovirus A,Human,0,NA,Knipe2013,NA
Rhinovirus B,Rhinovirus B,Human,0,NA,Knipe2013,NA
Rhinovirus C,Rhinovirus C,Human,0,NA,Knipe2013,NA
Rice black streaked dwarf virus,NA,Plant,NA,NA,NA,NA
Rice dwarf virus,NA,Plant,NA,NA,NA,NA
Rice gall dwarf virus,NA,Plant,NA,NA,NA,NA
Rice grassy stunt tenuivirus,NA,Plant,NA,NA,NA,NA
Rice hoja blanca tenuivirus,NA,Plant,NA,NA,NA,NA
Rice ragged stunt virus,NA,Plant,NA,NA,NA,NA
Rice stripe tenuivirus,NA,Plant,NA,NA,NA,NA
Rice yellow stunt nucleorhabdovirus,Rice yellow stunt nucleorhabdovirus,Plant,1,leafhopper,Babayan2018,Babayan2018
Rift Valley fever phlebovirus,Rift Valley fever phlebovirus,Artiodactyl,1,mosquito,Babayan2018,Babayan2018
Rinderpest morbillivirus,Rinderpest morbillivirus,Artiodactyl,0,NA,Babayan2018,NA
Rio Bravo virus,Rio Bravo virus,Vespbat,0,NA,Babayan2018,NA
Rio Chico almendravirus,NA,Orphan,?,unknown,contreras2017,NA
Rio Negro virus,Rio Negro virus,Rodent,1,mosquito,Pisano2010,Pisano2010
Rio Segundo virus,NA,Orphan,0,NA,hjelle1995,NA
Rochambeau curiovirus,NA,NA,NA,NA,NA,NA
Rockport orthohantavirus,NA,Orphan,NA,NA,kang2011,NA
Rodent erythroparvovirus 1,Rodent erythroparvovirus 1,Orphan,0,NA,Yoo1999,NA
Rodent hepacivirus,NA,Rodent,0,NA,Babayan2018,NA
Rodent pegivirus,NA,Rodent,0,NA,Babayan2018,NA
Rodent protoparvovirus 1,Rodent protoparvovirus 1,Rodent,0,NA,"Cotmore2014, Becker2007",NA
Rodent protoparvovirus 2,Rodent protoparvovirus 2,Rodent,0,NA,ballgoodrich1998,NA
Rosavirus A,NA,Orphan,NA,NA,lim2014,NA
Ross River virus,Ross River virus,Artiodactyl,1,mosquito,Babayan2018,Babayan2018
Ross River virus,Ross River virus,Diprotodontia,1,mosquito,Babayan2018,Babayan2018
Rotavirus A,Rotavirus A,Artiodactyl,0,NA,Holmes1983; Martella2010,NA
Rotavirus A,Rotavirus A,Galliformes,0,NA,Holmes1983; Dhama2015; Martella2010,NA
Rotavirus A,Rotavirus A,Human,0,NA,Knipe2013,NA
Rotavirus A,Rotavirus A,NonHumanPrimate,0,NA,Knipe2013,NA
Rotavirus B,Rotavirus B,Artiodactyl,0,NA,Holmes1983; Brown1987; vlasova2017,NA
Rotavirus B,Rotavirus B,Human,0,NA,Holmes1983; Sen2001,NA
Rotavirus C,Rotavirus C,Artiodactyl,0,NA,Holmes1983; Tsunemitsu1992; Rahman2005; vlasova2017,NA
Rotavirus C,Rotavirus C,Human,0,NA,Holmes1983; Rahman2005,NA
Rotavirus D,NA,Galliformes,0,NA,pattison2007,NA
Rotavirus E,Rotavirus E,NA,0,NA,Martella2010,NA
Rotavirus F,NA,Galliformes,0,NA,dhama2015,NA
Rotavirus G,NA,Galliformes,0,NA,dhama2015,NA
Rotavirus H,Rotavirus H,Orphan,0,NA,﻿yinda2018; marthaler2014,NA
Rotavirus I,NA,Orphan,0,NA,phan2017,NA
Rous sarcoma virus,NA,NONE,NA,NA,Knipe2013,NA
Rousettus bat coronavirus HKU9,Rousettus bat coronavirus HKU9,Pterobat,0,NA,Babayan2018,NA
Royal Farm virus,Royal Farm virus,Orphan,1,tick,Babayan2018,Babayan2018
