"Host","Host_Upham"
"lycalopex gymnocercus","Pseudalopex gymnocercus"
"lycalopex vetulus","Pseudalopex vetulus"
"lycaon pictus","Lycaon pictus"
"lynx canadensis","Lynx canadensis"
"lynx lynx","Lynx lynx"
"lynx pardinus","Lynx pardinus"
"lynx rufus","Lynx rufus"
"martes foina","Martes foina"
"martes martes","Martes martes"
"martes melampus","Martes melampus"
"martes pennanti","Martes pennanti"
"meles meles","Meles meles"
"mellivora capensis","Mellivora capensis"
"melogale moschata","Melogale moschata"
"mephitis macroura","Mephitis macroura"
"mephitis mephitis","Mephitis mephitis"
"mirounga angustirostris","Mirounga angustirostris"
"mirounga leonina","Mirounga leonina"
"monachus monachus","Monachus monachus"
"mungos mungo","Mungos mungo"
"mustela erminea","Mustela erminea"
"mustela frenata","Mustela frenata"
"mustela lutreola","Mustela lutreola"
"mustela nigripes","Mustela nigripes"
"mustela nivalis","Mustela nivalis"
"mustela putorius","Mustela putorius"
"mustela sibirica","Mustela sibirica"
"nasua narica","Nasua narica"
"nasua nasua","Nasua nasua"
"neofelis nebulosa","Neofelis nebulosa"
"neomonachus schauinslandi","Neomonachus schauinslandi"
"neovison vison","Neovison vison"
"nyctereutes procyonoides","Nyctereutes procyonoides"
"odobenus rosmarus","Odobenus rosmarus"
"otocolobus manul","Otocolobus manul"
"otocyon megalotis","Otocyon megalotis"
"paguma larvata","Paguma larvata"
"panthera leo","Panthera leo"
"panthera onca","Panthera onca"
"panthera pardus","Panthera pardus"
"panthera tigris","Panthera tigris"
"panthera uncia","Panthera uncia"
"paradoxurus hermaphroditus","Paradoxurus hermaphroditus"
"paradoxurus zeylonensis","Paradoxurus zeylonensis"
"phoca fasciata","Histriophoca fasciata"
"phoca groenlandica","Pagophilus groenlandicus"
"phoca largha","Phoca largha"
"phoca vitulina","Phoca vitulina"
"phocarctos hookeri","Phocarctos hookeri"
"potos flavus","Potos flavus"
"prionailurus bengalensis","Prionailurus bengalensis"
"prionailurus planiceps","Prionailurus planiceps"
"prionailurus viverrinus","Prionailurus viverrinus"
"procyon cancrivorus","Procyon cancrivorus"
"procyon lotor","Procyon lotor"
"procyon pygmaeus","Procyon pygmaeus"
"proteles cristata","Proteles cristata"
"puma concolor","Puma concolor"
"puma yagouaroundi","Herpailurus yagouaroundi"
"pusa caspica","Pusa caspica"
"pusa hispida","Pusa hispida"
"pusa sibirica","Pusa sibirica"
"speothos venaticus","Speothos venaticus"
"spilogale gracilis","Spilogale gracilis"
"spilogale putorius","Spilogale putorius"
"suricata suricatta","Suricata suricatta"
"taxidea taxus","Taxidea taxus"
"tremarctos ornatus","Tremarctos ornatus"
"urocyon cinereoargenteus","Urocyon cinereoargenteus"
"urocyon littoralis","Urocyon littoralis"
"ursus americanus","Ursus americanus"
"ursus arctos","Ursus arctos"
"ursus maritimus","Ursus maritimus"
"ursus thibetanus","Ursus thibetanus"
"urva javanica","Herpestes javanicus"
"viverricula indica","Viverricula indica"
"vulpes chama","Vulpes chama"
"vulpes corsac","Vulpes corsac"
"vulpes lagopus","Vulpes lagopus"
"vulpes macrotis","Vulpes macrotis"
"vulpes velox","Vulpes velox"
"vulpes vulpes","Vulpes vulpes"
"vulpes zerda","Vulpes zerda"
"zalophus californianus","Zalophus californianus"
"zalophus wollebaeki","Zalophus wollebaeki"
"aeorestes cinereus","Lasiurus cinereus"
"aeorestes egregius","Lasiurus egregius"
"anoura caudifer","Anoura caudifer"
"anoura geoffroyi","Anoura geoffroyi"
"antrozous pallidus","Antrozous pallidus"
"artibeus cinereus","Dermanura cinereus"
"artibeus fimbriatus","Artibeus fimbriatus"
"artibeus jamaicensis","Artibeus jamaicensis"
