"PaperID","IndividualID","Virus_ICTV","Virus_strain_isolate","Host_Upham","Host_order","aggression","lethargy","vocalization","sensitivity","appetite","skin_issue","weight_loss","movement","eye_nose","pneumonia","neural_damage","respiratory_damage","reproductive_damage","digestive_damage","external_damage","internal_damage","severity_rank","Susceptible_YN"
5,"6_5","Chikungunya virus","","Pteropus_giganteus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
5,"7_5","Chikungunya virus","","Pteropus_giganteus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
5,"8_5","Chikungunya virus","","Pteropus_giganteus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
5,"9_5","Chikungunya virus","","Pteropus_giganteus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
5,"10_5","Chikungunya virus","","Pteropus_giganteus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
5,"11_5","Dengue virus","Type 2","Pteropus_giganteus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
5,"12_5","Dengue virus","Type 2","Pteropus_giganteus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
5,"13_5","Dengue virus","Type 2","Pteropus_giganteus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
5,"14_5","Dengue virus","Type 2","Pteropus_giganteus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
5,"15_5","Dengue virus","Type 2","Pteropus_giganteus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
5,"16_5","Dengue virus","Type 2","Pteropus_giganteus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
5,"17_5","Dengue virus","Type 2","Pteropus_giganteus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
6,"1_6","Lyssavirus khujand","","Eptesicus_fuscus","Chiroptera",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,"Y"
6,"2_6","Lyssavirus khujand","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,"Y"
6,"3_6","Lyssavirus khujand","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,"Y"
6,"4_6","Lyssavirus khujand","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
6,"5_6","Lyssavirus khujand","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
6,"6_6","Lyssavirus khujand","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
