"Virus_ICTV","superkingdom","realm","kingdom","phylum","class","order","family","genus","Virus_NCBI"
"Spondweni virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Spondweni virus"
"Sudan ebolavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Orthoebolavirus","Orthoebolavirus sudanense"
"Suid alphaherpesvirus 1","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Varicellovirus","Varicellovirus suidalpha1"
"Tacaribe mammarenavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Arenaviridae","Mammarenavirus","Mammarenavirus tacaribeense"
"Tahyna orthobunyavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Orthobunyavirus tahynaense"
"Tai Forest ebolavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Orthoebolavirus","Orthoebolavirus taiense"
"Tick-borne encephalitis virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus encephalitidis"
"Trivittatus orthobunyavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Orthobunyavirus achiotei"
"Tula orthohantavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Orthohantavirus tulaense"
"Usutu virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus usutuense"
"Venezuelan equine encephalitis virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Venezuelan equine encephalitis virus"
"Wesselsbron virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus wesselsbronense"
"West Nile virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus nilense"
"Western equine encephalitis virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Western equine encephalitis virus"
"Whitewater Arroyo mammarenavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Arenaviridae","Mammarenavirus","Mammarenavirus whitewaterense"
"Woodchuck hepatitis virus","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Blubervirales","Hepadnaviridae","Orthohepadnavirus","Woodchuck hepatitis virus"
"Yellow fever virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus flavi"
"Yokose virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus yokoseense"
"Zaire ebolavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Orthoebolavirus","Orthoebolavirus zairense"
"Zika virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus zikaense"
